date,Closed PnL,Size USD,Num_Trades,classification,value
03-12-2024,63.03887509,1084666.53,374,Extreme Greed,76
04-12-2024,918.1561599,769287.65,319,Extreme Greed,78
05-12-2024,156.9607862,1256750.79,456,Extreme Greed,84
06-12-2024,-229.837826,3471019.22,403,Greed,72
07-12-2024,282.5864443,451733.42,304,Extreme Greed,75
08-12-2024,38.01412723,932939.72,420,Extreme Greed,79
09-12-2024,11.70865988,983949.68,539,Extreme Greed,78
10-12-2024,24.64020691,3150424.08,1596,Extreme Greed,78
11-12-2024,261.3034842,2194098.33,1221,Greed,74
12-12-2024,310.1199767,4557189.87,1932,Extreme Greed,83
13-12-2024,27.22583269,2880824.64,1173,Extreme Greed,76
14-12-2024,135.8715783,2369561.78,1235,Extreme Greed,83
15-12-2024,57.46924884,2583269.81,1697,Extreme Greed,80
16-12-2024,158.079947,2740808.97,1055,Extreme Greed,83
17-12-2024,113.1330784,5233597.63,1941,Extreme Greed,87
18-12-2024,9.575223704,3798887.07,1429,Extreme Greed,81
19-12-2024,18.79125621,8241709.39,3339,Extreme Greed,75
20-12-2024,102.4797669,7681274.71,2488,Greed,74
21-12-2024,89.24578415,4382875.12,1681,Greed,73
22-12-2024,455.0350956,3087320.22,774,Greed,73
23-12-2024,-12.53967898,6771878.26,2347,Greed,70
24-12-2024,43.82775182,1767036.11,338,Greed,73
25-12-2024,3.637774264,347889.35,208,Greed,73
26-12-2024,86.41124781,2205242.65,697,Extreme Greed,79
27-12-2024,10.28004244,347913,260,Greed,74
28-12-2024,5.842693311,281555.01,161,Greed,72
29-12-2024,14.34859665,344628.54,201,Greed,73
30-12-2024,29.6372965,1073865.73,304,Greed,65
31-12-2024,17.79415951,877164.62,306,Greed,64
01-01-2025,-99.25068068,282582.1,96,Greed,66
02-01-2025,24.14548224,774674.84,361,Greed,70
03-01-2025,11.86709999,771208.99,508,Greed,74
04-01-2025,6.882851666,1826029.62,371,Greed,73
05-01-2025,13.33773792,451943.57,239,Greed,72
06-01-2025,10.58322058,556526.99,573,Extreme Greed,76
